company,symbol,date,price
Affle India Ltd.,542752.BSE,2022-01-18,1449.1500
Amara Raja Batteries,AMARAJABAT.BSE,2022-01-19,646.3500
Ashoka Buildcon,533271.BSE,2022-01-19,100.7500
Asian Paints,ASIANPAINT.BSE,2022-01-19,3281.1001
Bombay Dyeing,500020.BSE,2022-01-19,113.9500
BPCL,BPCL.BSE,2022-01-19,394.1500
HFCL,500183.BSE,2022-01-19,88.2000
IEX,540750.BSE,2022-01-18,252.9000
Infosys,INFY.BSE,2022-01-19,1867.7000
IRCON,541956.BSE,2022-01-19,46.4500
IRCTC,IRCTC.BSE,2022-01-18,861.4500
JSW Steel,JSWSTEEL.BSE,2022-01-18,680.0000
Laurus Labs,LAURUSLABS.BSE,2022-01-18,500.1500
MHRIL,MHRIL.BSE,2022-01-19,208.5000
Minda Industries,532539.BSE,2022-01-19,1159.8000
Motherson Sumi,517334.BSE,2022-01-18,183.8000
Nestle India,NESTLEIND.BSE,2022-01-19,18903.3008
Pidilite Industries,500331.BSE,2022-01-19,2673.3000
Polycab India Ltd.,POLYCAB.BSE,2022-01-19,2653.7000
Shree Renuka Sugar,532670.BSE,2022-01-19,33.3500
Tata ELXSI,500408.BSE,2022-01-19,6980.6500
Tata Power,TATAPOWER.BSE,2022-01-19,248.5000
Tata Steel,TATASTEEL.BSE,2022-01-18,1194.5000
Trident,TRIDENT.BSE,2022-01-18,64.6000
SBI Cards,SBICARD.BSE,2022-01-19,870.8500
Reliance Power,RPOWER.BSE,2022-01-19,15.8500
Jai Corp,JAICORPLTD.BSE,2022-01-19,143.0500
CSB Bank Ltd,542867.BSE,2022-01-19,243.9000
RVNL,542649.BSE,2022-01-18,37.4500
TTK Prestige Ltd.,517506.BSE,2022-01-19,991.6500
Wipro Ltd.,507685.BSE,2022-01-19,621.3000
